Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Country
3/31/2020,1,1,0,0,2,1,0,1,Indonesia
3/31/2020,1,0,0,1,5,3,2,0,Indonesia
3/31/2020,0,1,0,-1,7,3,0,4,Indonesia
3/31/2020,0,0,0,0,1,0,0,1,Indonesia
3/31/2020,0,0,0,0,1,0,2,-1,Indonesia
3/31/2020,2,0,0,2,2,0,0,2,Indonesia
3/31/2020,1,0,1,0,9,1,2,6,Indonesia
3/31/2020,0,0,0,0,2,1,0,1,Indonesia
3/31/2020,0,0,0,0,4,0,3,1,Indonesia
3/31/2020,0,0,0,0,1,0,0,1,Indonesia
3/31/2020,0,1,0,-1,51,4,1,46,Indonesia
3/31/2020,0,0,0,0,2,0,0,2,Indonesia
3/31/2020,0,0,0,0,3,0,0,3,Indonesia
3/31/2020,0,0,0,0,1,0,1,0,Indonesia
3/31/2020,0,0,0,0,8,0,1,7,Indonesia
3/31/2020,3,0,0,3,5,2,1,2,Indonesia
3/31/2020,6,2,0,4,13,4,0,9,Indonesia
4/1/2020,0,0,0,0,5,0,0,5,Indonesia
4/1/2020,6,0,1,5,18,2,5,11,Indonesia
4/1/2020,12,1,6,5,91,28,153,-90,Indonesia
4/1/2020,0,0,0,0,1,1,1,-1,Indonesia
4/1/2020,59,1,0,58,467,107,78,282,Indonesia
4/1/2020,6,0,1,5,17,2,4,11,Indonesia
4/1/2020,149,21,22,106,1677,157,103,1417,Indonesia
4/1/2020,0,0,0,0,2,0,0,2,Indonesia
4/1/2020,20,1,2,17,179,31,35,113,Indonesia
4/1/2020,19,8,16,-5,137,30,37,70,Indonesia
4/1/2020,9,4,77,-72,126,47,323,-244,Indonesia
4/1/2020,1,0,0,1,9,2,5,2,Indonesia
4/1/2020,0,0,0,0,7,0,0,7,Indonesia
4/1/2020,0,0,0,0,7,1,41,-35,Indonesia
4/1/2020,1,0,0,1,17,1,2,14,Indonesia
4/1/2020,0,0,0,0,2,0,0,2,Indonesia
4/1/2020,0,0,0,0,2,1,0,1,Indonesia
4/1/2020,0,0,0,0,5,3,2,0,Indonesia
4/1/2020,0,0,0,0,7,3,0,4,Indonesia
4/1/2020,0,0,1,-1,1,0,1,0,Indonesia
4/1/2020,0,0,0,0,1,0,2,-1,Indonesia
4/1/2020,2,0,0,2,4,0,0,4,Indonesia
4/1/2020,0,0,1,-1,9,1,3,5,Indonesia
4/1/2020,0,0,0,0,2,1,0,1,Indonesia
4/1/2020,0,1,0,-1,4,1,3,0,Indonesia
4/1/2020,0,0,0,0,1,0,0,1,Indonesia
4/1/2020,14,0,0,14,65,4,1,60,Indonesia
4/1/2020,0,0,0,0,2,0,0,2,Indonesia
4/1/2020,0,0,0,0,3,0,0,3,Indonesia
4/1/2020,2,0,0,2,3,0,1,2,Indonesia
4/1/2020,0,0,0,0,8,0,1,7,Indonesia
4/1/2020,0,0,0,0,5,2,1,2,Indonesia
4/1/2020,2,0,0,2,15,4,0,11,Indonesia
4/2/2020,0,0,0,0,5,0,0,5,Indonesia
4/2/2020,0,0,0,0,18,2,5,11,Indonesia
4/2/2020,6,2,1,3,97,30,154,-87,Indonesia
4/2/2020,0,0,0,0,1,1,1,-1,Indonesia
4/2/2020,70,5,2,63,537,112,80,345,Indonesia
4/2/2020,0,1,0,-1,17,3,4,10,Indonesia
4/2/2020,113,13,9,91,1790,170,112,1508,Indonesia
4/2/2020,0,0,0,0,2,0,0,2,Indonesia
4/2/2020,15,5,1,9,194,36,36,122,Indonesia
4/2/2020,5,2,2,1,142,32,39,71,Indonesia
4/2/2020,0,12,91,-103,126,59,414,-347,Indonesia
4/2/2020,0,1,0,-1,9,3,5,1,Indonesia
4/2/2020,0,0,0,0,7,0,0,7,Indonesia
4/2/2020,0,0,0,0,7,1,41,-35,Indonesia
4/2/2020,0,0,0,0,17,1,2,14,Indonesia
4/2/2020,0,0,0,0,2,0,0,2,Indonesia
4/2/2020,0,0,0,0,2,1,0,1,Indonesia
4/2/2020,2,1,2,-1,7,4,4,-1,Indonesia
4/2/2020,0,0,0,0,7,3,0,4,Indonesia
4/2/2020,0,0,0,0,1,0,1,0,Indonesia
4/2/2020,0,0,0,0,1,0,2,-1,Indonesia
4/2/2020,0,0,0,0,4,0,0,4,Indonesia
4/2/2020,0,0,1,-1,9,1,4,4,Indonesia
